station,month,year,value
Punjabi Bagh,Nov,2013,0
Punjabi Bagh,Dec,2013,0
Punjabi Bagh,Jan,2014,0
Punjabi Bagh,Feb,2014,0
Punjabi Bagh,Mar,2014,0
Punjabi Bagh,Apr,2014,0
Punjabi Bagh,May,2014,0
Punjabi Bagh,Jun,2014,0
Punjabi Bagh,Jul,2014,0
Punjabi Bagh,Aug,2014,0
Punjabi Bagh,Sep,2014,0
Punjabi Bagh,Oct,2014,0
Punjabi Bagh,Nov,2014,0
Punjabi Bagh,Dec,2014,0
Punjabi Bagh,Jan,2015,0
Punjabi Bagh,Feb,2015,0
Punjabi Bagh,Mar,2015,0
Punjabi Bagh,Apr,2015,24
Punjabi Bagh,May,2015,27
Punjabi Bagh,Jun,2015,30
Punjabi Bagh,Jul,2015,31
Punjabi Bagh,Aug,2015,30
Punjabi Bagh,Sep,2015,30
Punjabi Bagh,Oct,2015,26
Punjabi Bagh,Nov,2015,30
Punjabi Bagh,Dec,2015,24
Punjabi Bagh,Jan,2016,31
Punjabi Bagh,Feb,2016,29
Punjabi Bagh,Mar,2016,29
Punjabi Bagh,Apr,2016,22
Punjabi Bagh,May,2016,28
Punjabi Bagh,Jun,2016,30
Punjabi Bagh,Jul,2016,31
Punjabi Bagh,Aug,2016,24
Punjabi Bagh,Sep,2016,30
Punjabi Bagh,Oct,2016,30
Punjabi Bagh,Nov,2016,30
Punjabi Bagh,Dec,2016,31
Punjabi Bagh,Jan,2017,29
Punjabi Bagh,Feb,2017,26
Punjabi Bagh,Mar,2017,31
Punjabi Bagh,Apr,2017,19
Punjabi Bagh,May,2017,6
Punjabi Bagh,Jun,2017,30
Punjabi Bagh,Jul,2017,31
Punjabi Bagh,Aug,2017,31
Punjabi Bagh,Sep,2017,30
Punjabi Bagh,Oct,2017,31
Punjabi Bagh,Nov,2017,13
Punjabi Bagh,Dec,2017,0
IGI Airport,Jan,2011,31
IGI Airport,Feb,2011,28
IGI Airport,Mar,2011,31
IGI Airport,Apr,2011,30
IGI Airport,May,2011,31
IGI Airport,Jun,2011,30
IGI Airport,Jul,2011,31
IGI Airport,Aug,2011,31
IGI Airport,Sep,2011,30
IGI Airport,Oct,2011,31
IGI Airport,Nov,2011,30
IGI Airport,Dec,2011,31
IGI Airport,Jan,2012,31
IGI Airport,Feb,2012,29
IGI Airport,Mar,2012,31
IGI Airport,Apr,2012,30
IGI Airport,May,2012,31
IGI Airport,Jun,2012,30
IGI Airport,Jul,2012,31
IGI Airport,Aug,2012,31
IGI Airport,Sep,2012,30
IGI Airport,Oct,2012,31
IGI Airport,Nov,2012,30
IGI Airport,Dec,2012,31
IGI Airport,Jan,2013,31
IGI Airport,Feb,2013,28
IGI Airport,Mar,2013,31
IGI Airport,Apr,2013,30
IGI Airport,May,2013,31
IGI Airport,Jun,2013,30
IGI Airport,Jul,2013,31
IGI Airport,Aug,2013,31
IGI Airport,Sep,2013,30
IGI Airport,Oct,2013,31
IGI Airport,Nov,2013,30
IGI Airport,Dec,2013,31
IGI Airport,Jan,2014,31
IGI Airport,Feb,2014,28
IGI Airport,Mar,2014,31
IGI Airport,Apr,2014,30
IGI Airport,May,2014,31
IGI Airport,Jun,2014,30
IGI Airport,Jul,2014,31
IGI Airport,Aug,2014,31
IGI Airport,Sep,2014,30
IGI Airport,Oct,2014,31
IGI Airport,Nov,2014,30
IGI Airport,Dec,2014,31
IGI Airport,Jan,2015,31
IGI Airport,Feb,2015,28
IGI Airport,Mar,2015,31
IGI Airport,Apr,2015,30
IGI Airport,May,2015,1
IGI Airport,Jun,2015,30
IGI Airport,Jul,2015,10
IGI Airport,Aug,2015,0
IGI Airport,Sep,2015,0
IGI Airport,Oct,2015,0
IGI Airport,Nov,2015,0
IGI Airport,Dec,2015,0
IGI Airport,Jan,2016,0
IGI Airport,Feb,2016,0
IGI Airport,Mar,2016,0
IGI Airport,Apr,2016,0
IGI Airport,May,2016,0
IGI Airport,Jun,2016,0
IGI Airport,Jul,2016,0
IGI Airport,Aug,2016,0
IGI Airport,Sep,2016,1
IGI Airport,Oct,2016,0
IGI Airport,Nov,2016,0
IGI Airport,Dec,2016,0
IGI Airport,Jan,2017,0
IGI Airport,Feb,2017,0
IGI Airport,Mar,2017,0
IGI Airport,Apr,2017,0
IGI Airport,May,2017,0
IGI Airport,Jun,2017,0
IGI Airport,Jul,2017,0
IGI Airport,Aug,2017,0
IGI Airport,Sep,2017,0
IGI Airport,Oct,2017,0
IGI Airport,Nov,2017,0
IGI Airport,Dec,2017,0
Civil Lines,Jan,2011,31
Civil Lines,Feb,2011,28
Civil Lines,Mar,2011,31
Civil Lines,Apr,2011,30
Civil Lines,May,2011,31
Civil Lines,Jun,2011,30
Civil Lines,Jul,2011,31
Civil Lines,Aug,2011,31
Civil Lines,Sep,2011,30
Civil Lines,Oct,2011,31
Civil Lines,Nov,2011,30
Civil Lines,Dec,2011,31
Civil Lines,Jan,2012,31
Civil Lines,Feb,2012,29
Civil Lines,Mar,2012,31
Civil Lines,Apr,2012,30
Civil Lines,May,2012,31
Civil Lines,Jun,2012,30
Civil Lines,Jul,2012,31
Civil Lines,Aug,2012,31
Civil Lines,Sep,2012,30
Civil Lines,Oct,2012,31
Civil Lines,Nov,2012,30
Civil Lines,Dec,2012,31
Civil Lines,Jan,2013,31
Civil Lines,Feb,2013,28
Civil Lines,Mar,2013,31
Civil Lines,Apr,2013,30
Civil Lines,May,2013,31
Civil Lines,Jun,2013,30
Civil Lines,Jul,2013,31
Civil Lines,Aug,2013,31
Civil Lines,Sep,2013,30
Civil Lines,Oct,2013,31
Civil Lines,Nov,2013,30
Civil Lines,Dec,2013,31
Civil Lines,Jan,2014,31
Civil Lines,Feb,2014,28
Civil Lines,Mar,2014,31
Civil Lines,Apr,2014,30
Civil Lines,May,2014,31
Civil Lines,Jun,2014,30
Civil Lines,Jul,2014,31
Civil Lines,Aug,2014,31
Civil Lines,Sep,2014,30
